RA,ANO,FASE,TURMA,IDADE,GENERO,ANO_INGRESSO,ANOS_NA_PM,INSTITUICAO,INSTITUICAO_GRUPO,PEDRA,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,MAT,POR,ING,FASE_IDEAL,DEFASAGEM,CLASSE_DEFASAGEM,EM_DEFASAGEM,PONTO_VIRADA,N_AVALIACOES,SEM_AVALIACAO,IAA_ZERADO,DEFASAGEM_T1,IAN_T1,INDE_T1,IDA_T1,IEG_T1,PEDRA_T1,FASE_T1,DEFASADO_T1,PIOROU_DEFASAGEM,RISCO_DEFASAGEM,QUEDA_INDE
RA-42,2023,5.0,5A,16.0,Masculino,2019,4,Privada - Programa de Apadrinhamento,Privada/Bolsa,Ágata,6.794516667,5.0,5.7,8.6,8.8,5.63,6.5625,6.6675,6.3,4.2,6.7,6.0,-1,Moderada,1,,4.0,False,0,-1,5.0,7.656628769866667,8.166666666666666,9.682539682666667,Ametista,6.0,1,0,1,0.0
RA-121,2023,5.0,5A,16.0,Feminino,2021,2,Pública,Pública,Ágata,6.811875,5.0,6.0,8.8,6.3,5.0,7.34375,7.4625,5.0,5.7,7.3,6.0,-1,Moderada,1,,4.0,False,0,-2,5.0,7.476158297266668,8.833333333333334,8.152958153,Ametista,5.0,1,1,1,0.0
RA-106,2023,5.0,5A,15.0,Feminino,2016,7,Privada - Programa de Apadrinhamento,Privada/Bolsa,Ametista,7.769658333,10.0,7.3,9.1,7.9,5.0,7.03125,7.5075,6.7,6.8,8.3,5.0,0,Em fase,0,,4.0,False,0,0,10.0,7.721664285733334,5.666666666666667,8.761904762,Ametista,6.0,0,0,0,1.0
RA-123,2023,5.0,5A,17.0,Masculino,2017,6,Privada - Programa de Apadrinhamento,Privada/Bolsa,Ágata,6.068333333,5.0,5.7,9.4,,5.0,6.875,6.8375,5.0,5.3,6.7,7.0,-2,Moderada,1,,4.0,False,1,-1,5.0,6.887248015866668,7.166666666666667,8.412698412666666,Ágata,6.0,1,0,1,0.0
RA-125,2023,5.0,5A,16.0,Feminino,2022,1,Privada,Privada/Bolsa,Ágata,6.989633333,5.0,5.8,7.7,9.2,5.0,8.125,7.835,3.3,5.8,8.2,6.0,-1,Moderada,1,,4.0,False,0,-1,5.0,6.627079761933334,6.166666666666667,5.6428571430000005,Ágata,6.0,1,0,1,1.0
RA-110,2023,5.0,5A,15.0,Masculino,2017,6,Privada - Programa de Apadrinhamento,Privada/Bolsa,Topázio,8.0879,10.0,7.5,8.6,8.3,5.0,8.75,8.2975,8.3,6.2,8.0,5.0,0,Em fase,0,,4.0,False,0,0,10.0,8.6324939394,8.5,9.696969697,Topázio,5.0,0,0,0,0.0
RA-143,2023,5.0,5A,14.0,Masculino,2019,4,Privada - Programa de Apadrinhamento,Privada/Bolsa,Ametista,7.794358333,10.0,6.5,9.6,8.3,2.52,8.28125,8.3375,9.2,5.0,5.2,4.0,1,Em fase,0,,4.0,False,0,2,10.0,7.449366666666667,2.6333333333333333,9.92,Ametista,7.0,0,0,0,1.0
RA-111,2023,5.0,5A,14.0,Feminino,2020,3,Privada - Programa de Apadrinhamento,Privada/Bolsa,Ametista,7.566458333,10.0,6.0,8.7,7.5,5.0,7.65625,8.0875,6.0,5.2,6.7,4.0,1,Em fase,0,,4.0,False,0,0,10.0,8.667693939400001,8.333333333333334,9.488636363666666,Topázio,5.0,0,1,1,0.0
RA-112,2023,5.0,5A,16.0,Feminino,2016,7,Privada - Programa de Apadrinhamento,Privada/Bolsa,Ametista,7.141308333,5.0,7.4,8.1,6.7,5.0,7.96875,7.9225,7.3,6.5,8.3,6.0,-1,Moderada,1,,4.0,False,0,0,10.0,8.052609920666667,8.0,7.978174603333333,Topázio,6.0,0,0,0,0.0
RA-115,2023,5.0,5A,16.0,Feminino,2019,4,Pública,Pública,Ágata,6.319141667,5.0,4.2,7.1,8.8,5.0,7.34375,7.215,3.7,3.8,5.2,6.0,-1,Moderada,1,,4.0,False,0,-2,5.0,5.404184695733334,4.166666666666667,4.164756812,Quartzo,5.0,1,1,1,1.0
RA-52,2023,5.0,5B,14.0,Masculino,2018,5,Privada - Programa de Apadrinhamento,Privada/Bolsa,Ametista,7.9642,10.0,6.4,9.8,10.0,2.52,8.125,8.2975,7.7,4.8,6.7,4.0,1,Em fase,0,,4.0,False,0,2,10.0,8.144466666733333,7.216666666666666,9.437666667,Topázio,7.0,0,0,0,0.0
